*,use,folio,nr,geometry,agri_categories,use_all
9473,['Pré'],190,[29.0],"POLYGON ((6.638593987170224 46.53322781896255, 6.638419724837187 46.53313937321441, 6.638362992481347 46.53301839132138, 6.638406669327455 46.53299001728795, 6.638598294526389 46.53287956701764, 6.638644446062787 46.532855893130375, 6.638610363428514 46.53257995371309, 6.638361790755889 46.53258405429244, 6.638031188859934 46.53257177115992, 6.637708757581899 46.53252325313097, 6.637693492247555 46.532523145376, 6.63766102917579 46.53259608478328, 6.637624056707729 46.5326871381518, 6.6376012432869 46.532738487768505, 6.637491320498845 46.533001703881105, 6.637482388497411 46.53303207893849, 6.63736772078401 46.533329211647676, 6.637360797242057 46.5333385283323, 6.637360675749889 46.53334672235355, 6.637321053856847 46.53344478110009, 6.637172205368882 46.53364450437486, 6.637000222809872 46.533859868435584, 6.636884294386888 46.53401299603084, 6.636949858363431 46.53399589881761, 6.63800365442687 46.533686080368575, 6.638552000925309 46.533543025716284, 6.639126879646041 46.53315430906904, 6.639126377917198 46.53313089159833, 6.639117905738065 46.533130246553185, 6.63881044897519 46.533158517837876, 6.63880542110643 46.53315438495771, 6.638732931304908 46.532894564604376, 6.638763522826706 46.53289068282141, 6.639131901283295 46.532872206528545, 6.639135780397452 46.53260999777952, 6.639002788405397 46.53259852434757, 6.638685859442007 46.532579315297475, 6.638650231623282 46.53257964945984, 6.638682800238098 46.53284328587272, 6.638678628190142 46.532895937817806, 6.638661950538604 46.53299123203036, 6.638741624209142 46.533166812900895, 6.638593987170224 46.53322781896255), (6.638734166517127 46.533040325069095, 6.638731700238294 46.5330350395469, 6.638752106190198 46.53303167130961, 6.63875374171437 46.53303578027812, 6.638746905078322 46.5330392441738, 6.638734166517127 46.533040325069095), (6.637175040670801 46.53391085797695, 6.63717517087245 46.53390207866888, 6.637187883627762 46.53390275381004, 6.637186905332344 46.533911527127884, 6.637175040670801 46.53391085797695))",['pre'],Pré
9474,"['grange', 'écurie']",190,[30.0],"POLYGON ((6.638558585303228 46.53315557148722, 6.63858239231248 46.53315164191295, 6.638683747502486 46.53312308909804, 6.638683020710284 46.533114889096204, 6.638623656903658 46.53299974226951, 6.638512133592851 46.53302763798015, 6.638500165121106 46.53303399241552, 6.638558585303228 46.53315557148722))","['ecurie', 'grange']","Logement, grange, écurie"
9477,['Pré (talus)'],190,[33.0],"POLYGON ((6.63838437162571 46.53257990536976, 6.638586707071462 46.532575611104, 6.638588364864435 46.532575622793104, 6.638624853246612 46.53257473584365, 6.638962856800777 46.53258970493596, 6.638970689951854 46.53250852034899, 6.638726435847432 46.532544558016276, 6.638369654791707 46.532566070904046, 6.638362888084378 46.53257517695904, 6.63838437162571 46.53257990536976))",['pre'],Pré (talus)
9478,['Pré (talus)'],190,[34.0],"POLYGON ((6.637554011160034 46.53249172258865, 6.637554841882102 46.53249289915071, 6.637581876132832 46.53250011419402, 6.637688464523148 46.53251901244627, 6.637693492247555 46.532523145376, 6.637708757581899 46.53252325313097, 6.638031188859934 46.53257177115992, 6.638361790755889 46.53258405429244, 6.638610363428514 46.53257995371309, 6.638650231623282 46.53257964945984, 6.638685859442007 46.532579315297475, 6.639002788405397 46.53259852434757, 6.639006631645303 46.532510749170264, 6.638725234749129 46.53255500825723, 6.638405241920755 46.532570897729656, 6.638031483661485 46.53255187139148, 6.637804737402324 46.53251397966171, 6.637696201280749 46.532512042876924, 6.637600171497854 46.53246746383789, 6.637271037211064 46.53235626494286, 6.636985193315319 46.532185665390145, 6.63694522401237 46.5321356283647, 6.636938474198145 46.532133239279304, 6.636938352644713 46.53214143330063, 6.636953840817975 46.53218368783006, 6.637057603683416 46.53227866203114, 6.637239406871092 46.53237301665387, 6.637364201229439 46.53242248192241, 6.637373512671654 46.532423718374474, 6.637520279090679 46.53247860676429, 6.637522779930304 46.532481551163826, 6.637554011160034 46.53249172258865))",['pre'],Pré (talus)
9479,"['grange', 'écurie']",190,[35.0],"POLYGON ((6.638974143499919 46.53227512331166, 6.639014742867405 46.53222048675661, 6.639035296436886 46.532176006926434, 6.639022169614594 46.532166760640116, 6.638942917813935 46.53214446188122, 6.638893370657288 46.53213152621909, 6.638794242549388 46.53210794303616, 6.638780963386769 46.532108993649956, 6.638736421745296 46.53220593856275, 6.638812357986148 46.53222821409405, 6.638833739836755 46.53223980703856, 6.638840354035812 46.53224099788343, 6.638843652669532 46.532242165357296, 6.638865186914789 46.53224346136784, 6.638974143499919 46.53227512331166))","['ecurie', 'grange']","Logement, grange, écurie"
9482,['Champ'],190,[39.0],"POLYGON ((6.638837066488382 46.53204771415201, 6.638843851022808 46.53204776197506, 6.638930716898487 46.532081153754426, 6.638927419898653 46.53207469168427, 6.638848671691486 46.53200857760946, 6.638834497098307 46.53199208793883, 6.638830421344751 46.531980937588834, 6.638894836892529 46.5315254051936, 6.638511506887177 46.53146592387242, 6.638504297824163 46.53149455511084, 6.638411080765528 46.53148921493066, 6.638314441449611 46.53165769903737, 6.638321173930549 46.5316612586158, 6.63862653542267 46.531716678769115, 6.638627314171841 46.53172136704759, 6.638499182933425 46.531954602942456, 6.63808768054353 46.53196457801135, 6.638077503758535 46.53196450620885, 6.638025728415573 46.53196706763554, 6.637872214451816 46.53213866214643, 6.637862790306198 46.532145034470275, 6.637487410678966 46.532063947931334, 6.637474498790646 46.53207673443108, 6.637323594005244 46.5323010280067, 6.637327773610861 46.53230515496349, 6.637616365052806 46.53240494586639, 6.637830155464544 46.53245855094877, 6.63802478742589 46.53248860650663, 6.638420577836077 46.53250895895008, 6.638704042478201 46.53249690935922, 6.63874231841879 46.53248956966749, 6.638748532146492 46.532470882321974, 6.638865629963692 46.53223815372972, 6.638862280992503 46.532235203381994, 6.638764329373481 46.532205830842855, 6.638807253393217 46.53211364837354, 6.638815024597089 46.532104337578346, 6.638837066488382 46.53204771415201), (6.63877030310065 46.53203143911845, 6.63867414813203 46.53222451157481, 6.638666428868929 46.53223031063611, 6.638476219807194 46.53218799504584, 6.638460971897768 46.53218671681932, 6.638455762160363 46.532194874957824, 6.638442210387578 46.532193608690264, 6.638444997245543 46.53217723858703, 6.63848138621232 46.53218276334313, 6.638650445503957 46.5322214177201, 6.638665693427636 46.53222269592118, 6.638694476755546 46.53216904679293, 6.638761805109965 46.532032549908855, 6.638764383960115 46.53203022669474, 6.63877030310065 46.53203143911845), (6.638741983246222 46.532340303453374, 6.638739309087979 46.53234906482803, 6.638728318810544 46.53234664595577, 6.638728414104198 46.53234020779473, 6.638741983246222 46.532340303453374))",['champ'],Champ
9483,['Pré'],190,[40.0],"POLYGON ((6.638025728415573 46.53196706763554, 6.638077503758535 46.53196450620885, 6.638078258051254 46.53191358621124, 6.638080023540523 46.531908915879725, 6.63808680805688 46.531908963747966, 6.638089326240808 46.53191073756046, 6.63808768054353 46.53196457801135, 6.638499182933425 46.531954602942456, 6.638627314171841 46.53172136704759, 6.63862653542267 46.531716678769115, 6.638321173930549 46.5316612586158, 6.638314441449611 46.53165769903737, 6.638411080765528 46.53148921493066, 6.638504297824163 46.53149455511084, 6.638511506887177 46.53146592387242, 6.637943578858713 46.531386407575134, 6.637740701475842 46.531684088828996, 6.637489219606221 46.532056351172656, 6.637487410678966 46.532063947931334, 6.637862790306198 46.532145034470275, 6.637872214451816 46.53213866214643, 6.638025728415573 46.53196706763554), (6.637782439629304 46.53190096238798, 6.637798518160494 46.53190341726587, 6.637799296840611 46.53190810555001, 6.637794995806507 46.53191217263281, 6.637778960639174 46.531906791317866, 6.637782439629304 46.53190096238798))",['pre'],Pré
9484,"['grange', 'écurie']",190,[41.0],"POLYGON ((6.637030997152327 46.532013896510136, 6.637181547517024 46.53198510723648, 6.637171848120496 46.531952844553544, 6.637139832562416 46.531881205880076, 6.636988443081963 46.53190940381962, 6.637030997152327 46.532013896510136))","['ecurie', 'grange']","Logement, grange, écurie"
9486,['Etable à porcs'],190,[42.0],"POLYGON ((6.637243629890445 46.5319738387636, 6.63723378291317 46.5319515259695, 6.637220187833363 46.53195318599247, 6.637214346850476 46.531946705902584, 6.637171848120496 46.531952844553544, 6.637181547517024 46.53198510723648, 6.637204453968843 46.53198468368402, 6.637241873005947 46.53197792379483, 6.637243629890445 46.5319738387636))",['etable'],Etable à porcs
9489,['Pré'],190,[46.0],"POLYGON ((6.636953972586782 46.531431515821474, 6.637132556717665 46.53145677676304, 6.637115480107564 46.53152162982676, 6.637128962239189 46.53152757855081, 6.637267523105746 46.53156367817022, 6.637740701475842 46.531684088828996, 6.637943578858713 46.531386407575134, 6.637930988086613 46.53137753849576, 6.637818146450657 46.531322890059066, 6.637811466081795 46.53131581872685, 6.637778574064948 46.53130329425129, 6.637728894441041 46.531278944297405, 6.636778952519101 46.53076590838952, 6.636635957153487 46.530685875662684, 6.636626672083755 46.53068288328827, 6.636606284256751 46.53068508056966, 6.636690526288777 46.53100937381562, 6.636866923785584 46.53163928484659, 6.636871103305248 46.53164341182026, 6.636875413070427 46.53163875948513, 6.636953972586782 46.531431515821474))",['pre'],Pré
9490,"['grange', 'écurie']",190,[36.0],"POLYGON ((6.638974143499919 46.53227512331166, 6.638865186914789 46.53224346136784, 6.638843652669532 46.532242165357296, 6.63883837454609 46.532262724157135, 6.638724204068321 46.532471312044926, 6.638724034723984 46.53248275307576, 6.638950019011593 46.53244887509954, 6.639279716631382 46.53235279514358, 6.639275894018028 46.532274961090735, 6.639142798309864 46.532193927788356, 6.63912627127343 46.532190378667856, 6.639092387805845 46.53223934147418, 6.639014742867405 46.53222048675661, 6.638974143499919 46.53227512331166))","['ecurie', 'grange']","Logement, grange, écurie"
9492,"['Grange', 'écurie']",191,[2.0],"POLYGON ((6.635895917348699 46.53491723591157, 6.635885961514681 46.53491773759991, 6.635886684654354 46.53498067592541, 6.635931464714904 46.53497984847063, 6.635950547459123 46.53497883922125, 6.635948944318118 46.53491932739214, 6.635895917348699 46.53491723591157))","['ecurie', 'grange']","Grange, écurie"
9496,['Pré'],191,[6.0],"POLYGON ((6.635861875040376 46.53547881699949, 6.635969940108462 46.53540348949635, 6.636124214690791 46.53506359712067, 6.636271808272442 46.53467102225568, 6.636545671721568 46.53437259541472, 6.636574381962737 46.53433732691268, 6.636498544420782 46.53430818482827, 6.636467163755636 46.53429995330841, 6.63633087702899 46.53448950574072, 6.63602972579105 46.53489472552073, 6.63600948168686 46.534806475835765, 6.636004341809965 46.53476181411277, 6.636211561387597 46.534206034724804, 6.636205826804712 46.53420141721075, 6.635985648534097 46.53412262373957, 6.635966719034085 46.53411333591491, 6.635956788839215 46.53411212142947, 6.635748909276913 46.53404256841586, 6.635743293738274 46.53402994203864, 6.63567313536008 46.53373022675763, 6.635669203223641 46.53371589592833, 6.635665084091972 46.53371415041869, 6.63566171738754 46.533717559314766, 6.635638482914393 46.53405380153176, 6.635558893138454 46.53433300501195, 6.635549788358516 46.53494568122386, 6.635648417192281 46.535393777136356, 6.635861875040376 46.53547881699949), (6.635929636877987 46.53499127794205, 6.635888155595859 46.53499327297337, 6.635886684654354 46.53498067592541, 6.635885961514681 46.53491773759991, 6.635867741727224 46.53491646446305, 6.635864395812112 46.534862661503325, 6.635865806469649 46.53476769954781, 6.635983524788529 46.53476796018384, 6.635991788722908 46.53476973499974, 6.635993719551767 46.53486300423115, 6.635996129914353 46.53486817036165, 6.635993715830348 46.534919071972816, 6.635993695115715 46.5349762838343, 6.635991174292382 46.5349785544835, 6.635950547459123 46.53497883922125, 6.635931464714904 46.53497984847063, 6.635929636877987 46.53499127794205), (6.636051445775273 46.53505106792887, 6.636077870122942 46.53505812026574, 6.636085305157838 46.53505988921188, 6.636080161562429 46.53507129523412, 6.636074324949877 46.53507354243344, 6.636044601799309 46.53506532252309, 6.636051445775273 46.53505106792887), (6.636141094525723 46.5349876245306, 6.636122037267706 46.53498691763207, 6.636117926519955 46.53498460007891, 6.636123265489505 46.53496003667522, 6.636147304905356 46.53496020668826, 6.636144452783959 46.53498478768053, 6.636141094525723 46.5349876245306))",['pre'],Pré
9497,['Etable à porcs'],191,[8.0],"POLYGON ((6.635786491085877 46.535471312022196, 6.635577130326372 46.53538973495214, 6.635495622220614 46.535407465644866, 6.635476994435558 46.53565677436542, 6.635428141876176 46.53582005243542, 6.635482750278655 46.53582730429759, 6.635482563234434 46.5358398894241, 6.635429400037407 46.53595851229616, 6.635415932804227 46.535972147642866, 6.635359751401685 46.53595916350054, 6.635260821011562 46.536144971447335, 6.635199095340038 46.5362818411591, 6.635210428522011 46.53630022896566, 6.635271812276311 46.53663248816024, 6.635381888480335 46.537147023407805, 6.635330653211367 46.53747047574662, 6.635327328503136 46.53758258603455, 6.635330397468157 46.53771076070026, 6.635391264669773 46.538189476632134, 6.63531302464665 46.53854477603421, 6.635292864916315 46.538673930478616, 6.635281246826983 46.53967847567518, 6.635342176204476 46.53981850213968, 6.635531360074139 46.54003152230586, 6.635648952381517 46.540152497796825, 6.635672283734275 46.54014465332641, 6.635687222953838 46.54014361480771, 6.635709993278839 46.54017352570187, 6.635679927810245 46.54018818786736, 6.635684697873785 46.540201952287994, 6.635795743769428 46.54031716018919, 6.636677988161292 46.541205593632824, 6.636955868845074 46.54147644920417, 6.637039004458707 46.54157315112352, 6.637075617739599 46.54156425595569, 6.638413490063868 46.542482209862946, 6.638436533978752 46.542493814567635, 6.638487765556504 46.54250561800996, 6.638625353750647 46.54250887644461, 6.638698936744891 46.54246705892312, 6.638804700860453 46.54237969928959, 6.638472313532646 46.54108552960173, 6.638474687767181 46.540813221502084, 6.639107189750776 46.53986797522441, 6.639371932631874 46.53945792024556, 6.640263827623943 46.53868612765774, 6.64058403133458 46.53833710387157, 6.640763050979587 46.538004249938176, 6.640842304294958 46.53769014614357, 6.640854264657402 46.53766620157099, 6.640853130329832 46.53763072271881, 6.640824283865614 46.53756301082364, 6.640727710429459 46.53725339189969, 6.64069207594658 46.53697166273938, 6.640695150682467 46.53676343597067, 6.640923302343538 46.5361345738045, 6.641181232992245 46.535846898613336, 6.641231982752545 46.53577860194337, 6.641395264451673 46.535163013651015, 6.641452231982642 46.53489795440269, 6.641488743801435 46.534558376997325, 6.641356284973368 46.533534511917466, 6.641348552874565 46.53349669826119, 6.641322939235278 46.53343473029323, 6.641243090342368 46.53334034297605, 6.640593502913397 46.532755655502484, 6.640581813844764 46.53276129439996, 6.640265296773184 46.533087459539445, 6.639960431344161 46.533410273166304, 6.639926987509551 46.53342948953508, 6.639915129130411 46.533446569395835, 6.639469022598654 46.53379012764622, 6.638939534070571 46.53360561005338, 6.638944676845608 46.53359420407458, 6.639240397186908 46.533329684037504, 6.639376473918882 46.533209355069616, 6.639411626385296 46.53318671823032, 6.639411660225531 46.53318443002403, 6.639411761746215 46.533177565405154, 6.639385338284833 46.533170513950374, 6.639094088226017 46.533132991150545, 6.638538003932237 46.53351353010757, 6.63796534019799 46.53366968179143, 6.63691441458232 46.53398836471808, 6.636847286366667 46.534042813089464, 6.636825598678026 46.534051813621, 6.636793590487177 46.53408591411683, 6.636607295098991 46.534237923332675, 6.636587248155807 46.53424807963926, 6.636501526366973 46.534326425059106, 6.636206459719605 46.53465730762851, 6.636054570352729 46.53506014403948, 6.635902125520791 46.535388601848815, 6.635876917431218 46.53541130797204, 6.635786491085877 46.535471312022196))",['etable'],Etable à porcs
9501,['Pré (talus)'],191,[11.0],"POLYGON ((6.635663647236772 46.53369926512704, 6.635662954309161 46.53369010630125, 6.635581677071302 46.53369239170735, 6.635583075753837 46.53376563298482, 6.635551381426893 46.53411325771686, 6.635520120193733 46.53432014395002, 6.635500965616594 46.53493961447323, 6.635566095912913 46.5354103581637, 6.635648417192281 46.535393777136356, 6.635549788358516 46.53494568122386, 6.635558893138454 46.53433300501195, 6.635638482914393 46.53405380153176, 6.63566171738754 46.533717559314766, 6.635665084091972 46.53371415041869, 6.635665101091733 46.5337130062987, 6.635663647236772 46.53369926512704))",['pre'],Pré (talus)
9502,['Champ'],191,[12.0],"POLYGON ((6.635421440189316 46.5329274771234, 6.634733410944132 46.53298038875124, 6.634493624719244 46.53299413689188, 6.63443885673533 46.53299775358118, 6.63452402598987 46.53423814171683, 6.634540427265448 46.53441733156876, 6.634583730319349 46.535017220383814, 6.634590819666976 46.53509793956384, 6.634606620733791 46.53509461880548, 6.634706647572347 46.535058139710515, 6.635307677233754 46.53483640885903, 6.635382647770323 46.53481233842746, 6.635412358579818 46.53431938118781, 6.635441953857646 46.53411305530911, 6.635472093056638 46.533758554153145, 6.635436683631563 46.533017407895755, 6.635429720828656 46.53292810786036, 6.635421440189316 46.5329274771234))",['champ'],Champ
9508,['Champ (houblonnière)'],191,[19.0],"POLYGON ((6.63407377910575 46.533241749362105, 6.634173725004533 46.534491396498495, 6.634210721631675 46.535013432423746, 6.63422361305289 46.535094192762486, 6.634551324815571 46.53502213983829, 6.634583730319349 46.535017220383814, 6.634540427265448 46.53441733156876, 6.63452402598987 46.53423814171683, 6.63443885673533 46.53299775358118, 6.633951772513194 46.533028627566416, 6.633534597913016 46.53304111555549, 6.633569728316727 46.533242751165034, 6.63407377910575 46.533241749362105))",['champ'],Champ (houblonnière)
9509,['Champ'],191,[20.0],"POLYGON ((6.63407377910575 46.533241749362105, 6.633569728316727 46.533242751165034, 6.633710593374351 46.53402641108104, 6.633783763829102 46.5344571645492, 6.633858678528841 46.534882209121044, 6.633882429490365 46.53529144353576, 6.6338857026965 46.5352943273506, 6.633921432743112 46.535288859540955, 6.633920731571463 46.53528027276507, 6.633915474113029 46.53524361978598, 6.633895804086936 46.535117041717974, 6.633958906317903 46.53511062377591, 6.633951877538705 46.53502590013776, 6.634210721631675 46.535013432423746, 6.634173725004533 46.534491396498495, 6.63407377910575 46.533241749362105))",['champ'],Champ
9511,['Pré'],191,[21.0],"POLYGON ((6.633886412381702 46.53530234206692, 6.6338857026965 46.5352943273506, 6.633882429490365 46.53529144353576, 6.633858678528841 46.534882209121044, 6.633783763829102 46.5344571645492, 6.633101575787371 46.53450610303013, 6.633217414271534 46.535021833576494, 6.633346245437316 46.53555596403054, 6.633620479735403 46.53545664458482, 6.633885603082232 46.53535668774897, 6.633886412381702 46.53530234206692))",['pre'],Pré
9512,['Champ'],191,[22.0],"POLYGON ((6.633569728316727 46.533242751165034, 6.633534597913016 46.53304111555549, 6.632935788211725 46.533059177870946, 6.632749178322841 46.533009222428554, 6.632826917851411 46.53335533523615, 6.632899324996046 46.53366994349366, 6.633101575787371 46.53450610303013, 6.633783763829102 46.5344571645492, 6.633710593374351 46.53402641108104, 6.633569728316727 46.533242751165034))",['champ'],Champ
9513,['Pré'],191,[23.0],"POLYGON ((6.632553907870143 46.53542962086878, 6.632553882271017 46.5354313370479, 6.632743524767214 46.53577881684325, 6.632749310408013 46.53578000217339, 6.633328709526075 46.53556442138542, 6.633346245437316 46.53555596403054, 6.633217414271534 46.535021833576494, 6.633209116285444 46.53502234679789, 6.632976339337211 46.535121387478995, 6.632553933469265 46.53542790468966, 6.632553907870143 46.53542962086878))",['pre'],Pré
9514,['Pré'],191,[24.0],"POLYGON ((6.63269438702511 46.53379263817963, 6.632693523972762 46.53379492053106, 6.632697671397379 46.53390594133866, 6.63270317377575 46.534204055124086, 6.632623844918129 46.53424239584133, 6.632617965590538 46.53424750316189, 6.632776296427917 46.534415114744945, 6.632776245244726 46.53441854710346, 6.632689413031518 46.534459695181376, 6.632126918701254 46.534709720030804, 6.632128448522065 46.53471831270977, 6.632286182688357 46.53498146483215, 6.632553933469265 46.53542790468966, 6.632976339337211 46.535121387478995, 6.633209116285444 46.53502234679789, 6.633217414271534 46.535021833576494, 6.633101575787371 46.53450610303013, 6.632899324996046 46.53366994349366, 6.632826917851411 46.53335533523615, 6.632683548744765 46.533352028514386, 6.63269438702511 46.53379263817963))",['pre'],Pré
9515,['Champ'],191,[25.0],"POLYGON ((6.631122128078538 46.53332319149343, 6.63110637860322 46.53332307940947, 6.631141919379785 46.53338569347219, 6.631371223000218 46.53374089551232, 6.631462175075468 46.534145459579705, 6.631634653422498 46.534253672895076, 6.631651121052616 46.53426122757683, 6.631747567826056 46.53424246135452, 6.631757515032934 46.53424253208851, 6.631793287304593 46.53423420464948, 6.631802508065805 46.534227404769084, 6.631813318366402 46.53422519315354, 6.631819061117596 46.53422923882958, 6.631823855367857 46.53424128744703, 6.631934755020104 46.53442057748977, 6.631934737941243 46.53442172160913, 6.631941335277189 46.53442405699304, 6.631955128328754 46.53444417926446, 6.632101708176525 46.53467692998045, 6.632120355472519 46.534705096418904, 6.632126918701254 46.534709720030804, 6.632689413031518 46.534459695181376, 6.632776245244726 46.53441854710346, 6.632776296427917 46.534415114744945, 6.632617965590538 46.53424750316189, 6.632623844918129 46.53424239584133, 6.63270317377575 46.534204055124086, 6.632697671397379 46.53390594133866, 6.632693523972762 46.53379492053106, 6.63269438702511 46.53379263817963, 6.632683548744765 46.533352028514386, 6.632682719824403 46.53335202262667, 6.631122128078538 46.53332319149343), (6.632662792968027 46.533409665244974, 6.632659306650832 46.53342108288899, 6.632646069503374 46.533419272502805, 6.632647889449077 46.53340841514304, 6.632662792968027 46.533409665244974))",['champ'],Champ
9518,['Pré'],191,[28.0],"POLYGON ((6.630974370673326 46.535277647655754, 6.630913241285259 46.535373900898115, 6.630912292628659 46.53538190383176, 6.630987752843912 46.535380724584996, 6.630992777848722 46.535377327627806, 6.631001340943172 46.53535908072085, 6.631138016503923 46.535033944763384, 6.631144767741936 46.53502598312045, 6.631187744714734 46.53503487075098, 6.631377658844831 46.53508599646112, 6.631380914858296 46.53514552014878, 6.631384179376918 46.53514897609533, 6.631489838832754 46.534624521167245, 6.631488403101982 46.5346096358234, 6.631465064499315 46.53456255593314, 6.631460150677929 46.53455851613585, 6.631443418100019 46.53456869527577, 6.631320948762651 46.53466451236451, 6.631221672744759 46.534539655866325, 6.630995391072353 46.534314918533376, 6.630991810656902 46.53427713309794, 6.630958627633665 46.53427861327003, 6.630836628915353 46.534287470875405, 6.630749479619006 46.53429428799297, 6.630671984673617 46.53448711294911, 6.630675129368624 46.53449857775051, 6.630708414517623 46.534545728629084, 6.630709875689321 46.53455889780401, 6.630692550193597 46.53483053167522, 6.6306541173645 46.53501676929725, 6.630745223202208 46.53513355843619, 6.630974370673326 46.535277647655754))",['pre'],Pré
9521,['Pré'],191,[31.0],"POLYGON ((6.630574689538272 46.534008127380126, 6.630864189943341 46.53416294481266, 6.630836628915353 46.534287470875405, 6.630958627633665 46.53427861327003, 6.630967978649686 46.53398575414258, 6.630919048285261 46.53370964377349, 6.630868927970017 46.533735032411265, 6.63066326740655 46.53385028075696, 6.630574689538272 46.534008127380126))",['pre'],Pré
9524,['Pré'],191,[34.0],"POLYGON ((6.630838402722291 46.53283773013553, 6.631063475335591 46.53253267564676, 6.631115175559001 46.532456951568584, 6.630692980619523 46.532417330397685, 6.630600493849607 46.53239321486437, 6.630532139502601 46.53236297780093, 6.630523038655876 46.53236176874381, 6.630447135047546 46.53255918184888, 6.630439495221902 46.532571141964695, 6.630388170385872 46.53262169511137, 6.630363020777877 46.53264039594264, 6.630210884255288 46.532724558080545, 6.630037266696186 46.532692998581474, 6.630028140127067 46.53269350566355, 6.629913698981693 46.533028524852206, 6.629836973398037 46.533169863889135, 6.629824060192369 46.53320181059716, 6.630597746179312 46.533353213573044, 6.630772553689541 46.53341624729761, 6.630877441433346 46.53349823512794, 6.630895489620419 46.53351095025798, 6.630902924273304 46.53351271954342, 6.630899070368171 46.533493240012085, 6.630836184977302 46.533318867705965, 6.630832091684503 46.53331540584214, 6.630805994362531 46.533231118331756, 6.630873940489307 46.53317782271898, 6.630893150946068 46.53316823342426, 6.630906422173898 46.533167755776134, 6.630997201273708 46.533195291617346, 6.631023547116544 46.53320749366743, 6.63104071503064 46.533223635232694, 6.631077964794114 46.53328282875714, 6.631087800697036 46.533290336325344, 6.631084715822501 46.533274867117086, 6.630984495018116 46.533047021965075, 6.630838402722291 46.53283773013553))",['pre'],Pré
9525,['Champ'],191,[35.0],"POLYGON ((6.630838402722291 46.53283773013553, 6.630984495018116 46.533047021965075, 6.631084715822501 46.533274867117086, 6.631087800697036 46.533290336325344, 6.631089347409063 46.533297784899624, 6.631099909658805 46.53331216308201, 6.631101456373123 46.533319611656125, 6.63110637860322 46.53332307940947, 6.631122128078538 46.53332319149343, 6.632682719824403 46.53335202262667, 6.632675703475864 46.532988676348815, 6.632661697239501 46.53298285565812, 6.632527925035138 46.5329475781579, 6.632147460334799 46.53283331110788, 6.632130916236037 46.5328309050353, 6.632082223849829 46.53281625591853, 6.63193141247875 46.53275625541116, 6.631909920564727 46.5327520977679, 6.631899153260098 46.53275144909408, 6.631869449099049 46.53274208397099, 6.631814988650344 46.532725105244936, 6.631766381854281 46.53270473539541, 6.631684900572984 46.53266525175929, 6.631670971404397 46.5326542824088, 6.631600360054597 46.53260858269068, 6.631579902162961 46.53259070144729, 6.631579081797277 46.53259012349185, 6.631448985761097 46.53253084179533, 6.631409351998377 46.53252026167134, 6.631331930334762 46.53248652786372, 6.631285648281067 46.532477044635236, 6.631229590295242 46.53245604941462, 6.631214789632846 46.53244793440826, 6.631193297896338 46.53244377662936, 6.631180975414148 46.53243625137402, 6.631166114933752 46.53243214077917, 6.631143059417529 46.53242167853659, 6.631115175559001 46.532456951568584, 6.631063475335591 46.53253267564676, 6.630838402722291 46.53283773013553))",['champ'],Champ
9526,['Pré'],191,[36.0],"POLYGON ((6.632690589817409 46.53299107056672, 6.632675703475864 46.532988676348815, 6.632682719824403 46.53335202262667, 6.632683548744765 46.533352028514386, 6.632826917851411 46.53335533523615, 6.632749178322841 46.533009222428554, 6.632690589817409 46.53299107056672))",['pre'],Pré
9528,['Pré'],192,[2.0],"POLYGON ((6.631813319196262 46.53178309098412, 6.631807680983129 46.53177911877282, 6.631733939828092 46.53175724860075, 6.631718577428428 46.53175039857492, 6.631691812834581 46.53174402918873, 6.631685360790804 46.53174005118343, 6.631501398416172 46.531686501702836, 6.631478677927015 46.531681846227734, 6.631477050241546 46.53168183464887, 6.631333495091164 46.531756647085004, 6.631319609403802 46.53175991867635, 6.631272389676661 46.53176070615724, 6.631256070843717 46.53176339869635, 6.630861102779158 46.53199539128745, 6.6307545121984 46.5321564110556, 6.63075592999176 46.532170464435396, 6.630792040543791 46.53225947509772, 6.631250263877754 46.53237002725682, 6.63126075166611 46.53237628092832, 6.631499915450474 46.53238528495749, 6.631617545346742 46.53213895985713, 6.631742104238204 46.53186459734738, 6.631747968874931 46.53185340442588, 6.631754538338551 46.531849519023694, 6.631755427656282 46.53184446976579, 6.631813319196262 46.53178309098412))",['pre'],Pré
