*,use,folio,nr,geometry,agri_categories,use_all
701,"['Ecurie', 'fenil']",4,[90.0],"POLYGON ((6.63290728245161 46.52411739190415, 6.632899805563805 46.52414811713107, 6.633002675317054 46.524226933442414, 6.633008412491993 46.52422982402867, 6.633072051431003 46.52419835765808, 6.633077856556066 46.524196688970974, 6.633071408383152 46.524186098757696, 6.632993601530518 46.52408779655983, 6.632989051896375 46.5240883342202, 6.63290728245161 46.52411739190415))","['ecurie', 'fenil']","Ecurie, remise, fenil, chambre"
737,['Hangar'],4,[122.0],,['hangar'],Hangar
742,['Hangar'],4,[126.0],,['hangar'],Hangar
756,['Hangar de la pompe'],5,[2.0],"POLYGON ((6.635491974268898 46.52487372705256, 6.635576725061789 46.52487920650482, 6.635579473529501 46.524834162237916, 6.635495541613327 46.52482954967446, 6.635491974268898 46.52487372705256))",['hangar'],Hangar de la pompe
761,['Pré'],5,[7.0],"POLYGON ((6.634872099224133 46.52391295278337, 6.634868822277915 46.52388164328409, 6.634784228548321 46.52389367324188, 6.634764617991482 46.52389812676918, 6.634749572616446 46.523903186702015, 6.634737429252202 46.52390884125687, 6.634720613984944 46.52392106439737, 6.634710035607112 46.52393333173189, 6.634698103126992 46.523952765222795, 6.634690290153824 46.52397481117629, 6.634683600760159 46.52400518896505, 6.634680286386267 46.52406027526092, 6.634697626048005 46.52420850567865, 6.634699309761482 46.524263053332376, 6.634698939298827 46.52437183512132, 6.63469661018727 46.524416595314506, 6.634695349990436 46.524417447474704, 6.634697317987118 46.52442492420358, 6.634697309449611 46.52442549820329, 6.634699375627956 46.524426373935206, 6.63479446720732 46.52460328422994, 6.634821527556213 46.524657150591175, 6.634825214259313 46.524660908103485, 6.634829359442409 46.524661798563, 6.634965921990224 46.524734523568014, 6.634988665324576 46.52471516663058, 6.634991563117027 46.524716048247996, 6.634991108912899 46.52471862830148, 6.634973385041141 46.524736011585865, 6.635094267041271 46.5248005885115, 6.635558481245273 46.525043545597526, 6.635571371098329 46.52504363683953, 6.635688910814816 46.52505336671986, 6.635814367860696 46.5250620043844, 6.63583560785808 46.52505985844449, 6.63584861707103 46.525051913657855, 6.635858813708829 46.525037347276545, 6.635871617506682 46.524931236752145, 6.635880357849888 46.52493072453755, 6.635883219230441 46.524906060198646, 6.635874495941433 46.524905424413895, 6.635874195229627 46.524897672474346, 6.635576725061789 46.52487920650482, 6.635491974268898 46.52487372705256, 6.635495541613327 46.52482954967446, 6.635421177376946 46.52482471775727, 6.63542179789424 46.52481094470647, 6.635429282292741 46.5248109976949, 6.635434359347136 46.524777164089684, 6.635352485203271 46.524774001138766, 6.635350702575906 46.52478202535925, 6.635305834599621 46.524779124391344, 6.635305533969974 46.52477137245026, 6.635248192017531 46.52476838313172, 6.635245298483971 46.52476721452098, 6.635125328203466 46.524501436116225, 6.63507733312577 46.5244012097044, 6.635078232986985 46.52439662359647, 6.635025751570901 46.524318466702375, 6.635019497561094 46.52431957052274, 6.635015043281486 46.524311502127865, 6.635012616778314 46.52430689245796, 6.634992283565601 46.524276036203474, 6.634952166603263 46.52428924243353, 6.634890907440717 46.524158209751526, 6.634923051672104 46.52414982657409, 6.634891194602356 46.52402703902467, 6.634882525124287 46.52399483023137, 6.634879704191782 46.52398878261335, 6.634876823511165 46.523986752993586, 6.634876055940633 46.52398244210378, 6.634875644414888 46.52398215215809, 6.634874859773406 46.52397898926782, 6.63487779166668 46.523977574889095, 6.634871148139986 46.523920982888335, 6.634862412218132 46.52392120802542, 6.63486125446373 46.523915172190385, 6.634872090688559 46.523913526783126, 6.634872099224133 46.52391295278337))",['pre'],Pré
785,['Hangar'],5,[32.0],"POLYGON ((6.634317075742478 46.5239888135517, 6.634451408549472 46.5242391950357, 6.634506882386894 46.52433976176189, 6.634509351545914 46.524341501444, 6.63455652438132 46.524329206468856, 6.634560266546834 46.52432923299165, 6.634571137019049 46.524325291614254, 6.634582809196432 46.524323365128595, 6.634587815827235 46.52432225249169, 6.634412262572674 46.52399149757055, 6.634398895820142 46.523967579313464, 6.634392238855711 46.52396781915215, 6.634319600398777 46.52398682223986, 6.634317075742478 46.5239888135517))",['hangar'],"Hangar, magasin du matériel"
790,"['fenil', 'écurie']",5,[38.0],"POLYGON ((6.634171764395767 46.52394530278146, 6.634284600862083 46.52390764081071, 6.634288763062107 46.523907383290556, 6.634331828888846 46.5238916149305, 6.634347697344109 46.52388713494824, 6.634055391171011 46.523466285290745, 6.63404847654564 46.5234559031659, 6.634048060756212 46.52345590021706, 6.633943771585961 46.52347812294655, 6.633869933263333 46.52349395990106, 6.633861900792333 46.52350280085557, 6.633869188447025 46.52351605593973, 6.63389569349162 46.5235512616353, 6.634030847805058 46.523746252651904, 6.634171764395767 46.52394530278146))","['ecurie', 'fenil']","Ecole, écurie, fenil"
796,['Hangar'],5,[44.0],"POLYGON ((6.633755641290056 46.523657330340974, 6.633840448540778 46.523630951156846, 6.633828273948888 46.52361077267903, 6.633785509102038 46.52355047999045, 6.633686889906543 46.52355494684103, 6.633755641290056 46.523657330340974))",['hangar'],"Hangar, bûcher"
797,['Hangar'],5,[45.0],"POLYGON ((6.633674833193251 46.52358270322014, 6.633673576072825 46.523555426434655, 6.633592848661523 46.52355915906192, 6.633595370210705 46.523585296700475, 6.633597427790099 46.523586746452175, 6.633674833193251 46.52358270322014))",['hangar'],Hangar
798,['pressoir'],5,[46.0],"POLYGON ((6.633674649543575 46.52339957667104, 6.633676943395459 46.52341308336479, 6.633686177443521 46.52343525020679, 6.633685718913855 46.52343811725505, 6.633312821108365 46.523459007277346, 6.633304492491882 46.523459809245836, 6.633332769249697 46.523543535752744, 6.633526702695729 46.52353314397568, 6.633671997194361 46.52352183270239, 6.633676570883452 46.52352186515474, 6.633678195576334 46.523524459954125, 6.633688586050758 46.52352482070839, 6.633838407176064 46.52351669867223, 6.633824376311604 46.523397768649794, 6.633821907217668 46.52339602895272, 6.633786972398293 46.523396355174626, 6.6336800804447 46.52339789302459, 6.633676334069925 46.52339815347264, 6.633674649543575 46.52339957667104))",['pressoir'],"Logement, école, pressoir"
